Viewer_Segment,Recommended_Content_ID,Title,Genre,IMDB_Rating
Genre Explorers,C200946,Comedy TV Show #0946,Comedy,9.8
Genre Explorers,C200907,Drama TV Show #0907,Drama,9.8
Genre Explorers,C200012,Comedy Movie #0012,Comedy,9.7
Genre Explorers,C200201,Drama Movie #0201,Drama,9.7
Genre Explorers,C200715,Action Movie #0715,Action,9.6
Genre Explorers,C200159,Drama Movie #0159,Drama,9.6
Genre Explorers,C200115,Drama TV Show #0115,Drama,9.5
Genre Explorers,C200912,Action Movie #0912,Action,9.4
Genre Explorers,C200802,Drama TV Show #0802,Drama,9.4
Genre Explorers,C200466,Drama TV Show #0466,Drama,9.3
At-Risk Low Engagement,C200946,Comedy TV Show #0946,Comedy,9.8
At-Risk Low Engagement,C200907,Drama TV Show #0907,Drama,9.8
At-Risk Low Engagement,C200012,Comedy Movie #0012,Comedy,9.7
At-Risk Low Engagement,C200201,Drama Movie #0201,Drama,9.7
At-Risk Low Engagement,C200715,Action Movie #0715,Action,9.6
At-Risk Low Engagement,C200159,Drama Movie #0159,Drama,9.6
At-Risk Low Engagement,C200115,Drama TV Show #0115,Drama,9.5
At-Risk Low Engagement,C200912,Action Movie #0912,Action,9.4
At-Risk Low Engagement,C200802,Drama TV Show #0802,Drama,9.4
At-Risk Low Engagement,C200466,Drama TV Show #0466,Drama,9.3
Global Bingers,C200946,Comedy TV Show #0946,Comedy,9.8
Global Bingers,C200907,Drama TV Show #0907,Drama,9.8
Global Bingers,C200012,Comedy Movie #0012,Comedy,9.7
Global Bingers,C200201,Drama Movie #0201,Drama,9.7
Global Bingers,C200715,Action Movie #0715,Action,9.6
Global Bingers,C200159,Drama Movie #0159,Drama,9.6
Global Bingers,C200115,Drama TV Show #0115,Drama,9.5
Global Bingers,C200912,Action Movie #0912,Action,9.4
Global Bingers,C200802,Drama TV Show #0802,Drama,9.4
Global Bingers,C200466,Drama TV Show #0466,Drama,9.3
Casual Browsers,C200946,Comedy TV Show #0946,Comedy,9.8
Casual Browsers,C200907,Drama TV Show #0907,Drama,9.8
Casual Browsers,C200012,Comedy Movie #0012,Comedy,9.7
Casual Browsers,C200201,Drama Movie #0201,Drama,9.7
Casual Browsers,C200715,Action Movie #0715,Action,9.6
Casual Browsers,C200159,Drama Movie #0159,Drama,9.6
Casual Browsers,C200115,Drama TV Show #0115,Drama,9.5
Casual Browsers,C200912,Action Movie #0912,Action,9.4
Casual Browsers,C200802,Drama TV Show #0802,Drama,9.4
Casual Browsers,C200466,Drama TV Show #0466,Drama,9.3
Premium Loyalists,C200946,Comedy TV Show #0946,Comedy,9.8
Premium Loyalists,C200907,Drama TV Show #0907,Drama,9.8
Premium Loyalists,C200012,Comedy Movie #0012,Comedy,9.7
Premium Loyalists,C200201,Drama Movie #0201,Drama,9.7
Premium Loyalists,C200715,Action Movie #0715,Action,9.6
Premium Loyalists,C200159,Drama Movie #0159,Drama,9.6
Premium Loyalists,C200115,Drama TV Show #0115,Drama,9.5
Premium Loyalists,C200912,Action Movie #0912,Action,9.4
Premium Loyalists,C200802,Drama TV Show #0802,Drama,9.4
Premium Loyalists,C200466,Drama TV Show #0466,Drama,9.3
